title,description,price,originalPrice,category,images,badges,condition,sold,soldDate
"Scandinavian Oak Dining Table","Beautiful solid oak dining table, seats 6. Barely used, perfect condition.",2800,4200,furniture,"https://images.unsplash.com/photo-1586023492125-27b2c045efd7?w=400","staff-pick,viewing-now","Like New",false,
"Designer Kitchen Knives Set","Professional Wüsthof knife set with wooden block. 8 pieces, German steel.",450,650,kitchen,"https://images.unsplash.com/photo-1544037150-6e4ecfcb0d0b?w=400","urgent","Excellent",false,
"Baby Stroller - Cybex Priam","Premium stroller with travel system. Used for 6 months only. All accessories included.",800,1200,baby,"https://images.unsplash.com/photo-1544627985-f4ac4c52a717?w=400","almost-gone,viewing-now","Very Good",false,
"Vintage Leather Armchair","Mid-century modern leather armchair. Rich cognac color, incredibly comfortable.",1200,1800,furniture,"https://images.unsplash.com/photo-1586023492125-27b2c045efd7?w=400","staff-pick","Good",false,
"MacBook Pro 14"" M1","2021 MacBook Pro, barely used. Perfect for work or creative projects. Original box included.",3200,4000,electronics,"https://images.unsplash.com/photo-1496181133206-80ce9b88a853?w=400","urgent,viewing-now","Like New",false,
"Ceramic Dinnerware Set","Handmade ceramic plates and bowls, set for 8. Neutral beige tones, dishwasher safe.",180,280,kitchen,"https://images.unsplash.com/photo-1578662996442-48f60103fc96?w=400","viewing-now","Excellent",false,
"Designer Clothing Lot","Women's designer clothes, size S-M. Zara, H&M, COS. 15 pieces total.",320,800,clothing,"https://images.unsplash.com/photo-1445205170230-053b83016050?w=400","almost-gone","Good",true,2024-01-15
"Monstera Deliciosa Plant","Large, healthy Monstera plant in ceramic pot. Perfect for home decoration.",85,120,decor,"https://images.unsplash.com/photo-1463154545680-d59320fd685d?w=400","","Excellent",true,2024-01-14
"Drill Set with Case","Professional drill with complete bit set. Makita brand, excellent for home projects.",280,420,tools,"https://images.unsplash.com/photo-1589360227927-6b0b5e2c0847?w=400","staff-pick","Very Good",true,2024-01-13
"Cat Tower & Accessories","Large cat tower with scratching posts, toys, and feeding bowls. Cat-approved!",150,220,other,"https://images.unsplash.com/photo-1608848461950-0fe51dfc41cb?w=400","","Good",false,
"Espresso Machine","De'Longhi espresso machine with milk frother. Make café-quality coffee at home.",420,600,kitchen,"https://images.unsplash.com/photo-1559056199-641a0ac8b55e?w=400","urgent","Like New",false,
"Modern Floor Lamp","Minimalist black floor lamp with brass accents. Perfect for reading corner.",120,180,decor,"https://images.unsplash.com/photo-1513506003901-1e6a229e2d15?w=400","","Excellent",false,